source,httpMethod,path,mappedPath,normalizedPath,legacyFile,legacyClass,status,appliedRule,matchedRoutes,reason
"fastify","DELETE","/llm-configs/:id","/llm-configs/:id","/llm-configs/:id","","","无需迁移","","DELETE /llm-configs/:id (user-llm-configs.ts:374)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/llm-configs/:id/test","/llm-configs/:id/test","/llm-configs/:id/test","","","无需迁移","","POST /llm-configs/:id/test (user-llm-configs.ts:389)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/llm-configs/:id/fetch-models","/llm-configs/:id/fetch-models","/llm-configs/:id/fetch-models","","","无需迁移","","POST /llm-configs/:id/fetch-models (user-llm-configs.ts:437)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/llm-configs/preview-test","/llm-configs/preview-test","/llm-configs/preview-test","","","无需迁移","","POST /llm-configs/preview-test (user-llm-configs.ts:472)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","${PREFIX}/create","${PREFIX}/create","$:prefix/create","","","无需迁移","","POST ${PREFIX}/create (user-sk.ts:77)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","${PREFIX}/delete/:sk_id","${PREFIX}/delete/:sk_id","$:prefix/delete/:sk_id","","","无需迁移","","DELETE ${PREFIX}/delete/:sk_id (user-sk.ts:126)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","${PREFIX}/list","${PREFIX}/list","$:prefix/list","","","无需迁移","","GET ${PREFIX}/list (user-sk.ts:141)","当前仓库新增端点(无 Java 对应)"
"fastify","PUT","${PREFIX}/update/:sk_id","${PREFIX}/update/:sk_id","$:prefix/update/:sk_id","","","无需迁移","","PUT ${PREFIX}/update/:sk_id (user-sk.ts:210)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/user/check-in","/user/check-in","/user/check-in","","","无需迁移","","POST /user/check-in (user.ts:39)","当前仓库新增端点(无 Java 对应)"
"fastify","GET","/user/check-in/status","/user/check-in/status","/user/check-in/status","","","无需迁移","","GET /user/check-in/status (user.ts:66)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/user/devices/:deviceId","/user/devices/:deviceId","/user/devices/:deviceid","","","无需迁移","","DELETE /user/devices/:deviceId (user.ts:93)","当前仓库新增端点(无 Java 对应)"
"fastify","POST","/user/ip-whitelist","/user/ip-whitelist","/user/ip-whitelist","","","无需迁移","","POST /user/ip-whitelist (user.ts:99)","当前仓库新增端点(无 Java 对应)"
"fastify","DELETE","/user/sessions/:sessionId","/user/sessions/:sessionId","/user/sessions/:sessionid","","","无需迁移","","DELETE /user/sessions/:sessionId (user.ts:105)","当前仓库新增端点(无 Java 对应)"
